n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex,flat
34,34,276548.6402,0.93,0.99,1,45,0.95,796.3787670893,422748.2599484,8
35,35,160912.1803,0.97,0.94,1,40,1.0,791.2929788289,422770.0978513,8
36,36,-56201.8092,0.96,0.94,1,30,0.99,787.25302436,422763.8022395,2
37,37,179189.1684,0.92,0.93,1,40,0.97,766.8440852576,422755.7097554,4
38,38,55147.0761,0.98,0.97,1,35,0.91,808.0802969792,422728.8615947,2
39,39,271685.9912,0.96,0.93,1,45,1.0,783.0039031329,422768.1698201,2
40,40,-49701.3507,0.95,0.93,1,30,0.97,778.9639486641,422756.3524325,6
41,41,466371.4683,0.99,0.99,1,55,0.99,820.6184939023,422765.7302707,8
42,42,271142.2825,0.94,0.98,1,45,0.99,796.169600331,422766.3729478,10
43,43,476460.0819,0.99,0.96,1,55,0.92,807.8711302208,422734.5145295,6
44,44,388449.2077,0.92,0.97,1,50,0.94,783.8405701662,422741.9643365,2
45,45,597755.4993,0.92,0.94,1,60,0.97,771.0932064847,422755.7097554,4
46,46,43784.6369,1.0,0.99,1,35,0.94,824.6584483711,422742.6070136,4
47,47,-51055.2282,0.95,0.94,1,30,0.97,783.2130698912,422755.0670783,2
48,48,400947.4457,0.91,0.91,1,50,0.92,754.3058883344,422735.1572066,8
49,49,76376.907,0.91,0.91,1,35,0.97,754.3058883344,422756.3524325,6
50,50,-73666.8967,1.0,0.97,1,30,1.0,816.1602059168,422768.1698201,2
51,51,585368.181,0.97,0.92,1,60,0.99,782.7947363746,422764.4449165,4
52,52,275979.5951,0.94,0.96,1,45,0.97,787.6713578767,422755.7097554,4
53,53,486783.3244,0.94,0.97,1,55,0.94,791.9204791038,422742.6070136,4
54,54,367730.0416,0.99,0.97,1,50,0.96,812.120251448,422751.3421748,4
55,55,595710.9652,0.94,0.94,1,60,0.93,779.1731154224,422740.1674643,10
56,56,156011.6096,0.98,0.97,1,40,0.98,808.0802969792,422762.0053672,10
57,57,601752.1088,0.91,0.93,1,60,0.97,762.8041307887,422755.7097554,4
58,58,383771.5527,0.95,0.93,1,50,0.96,778.9639486641,422750.6994977,2
59,59,156332.0979,0.99,1.0,1,40,0.91,824.8676151294,422730.789626,8
60,60,374121.4789,0.96,0.99,1,50,0.95,808.4986304958,422746.3319171,2
61,61,163427.7071,0.96,0.98,1,40,0.95,804.2495092687,422746.3319171,2
62,62,158237.2219,0.98,0.97,1,40,0.96,808.0802969792,422751.3421748,4
63,63,-57070.5928,0.98,0.95,1,30,0.93,799.5820545249,422737.5967559,2
64,64,579181.0109,0.96,0.98,1,60,1.0,804.2495092687,422768.8124971,4
65,65,583065.6198,0.96,0.95,1,60,1.0,791.5021455872,422770.0978513,8
66,66,386115.0152,0.91,1.0,1,50,0.95,792.5479793788,422746.3319171,2
67,67,486369.4961,0.94,0.98,1,55,0.93,796.169600331,422737.5967559,2
68,68,386404.5936,0.94,0.96,1,50,0.92,787.6713578767,422733.8718524,4
69,69,472901.0552,0.98,0.98,1,55,0.96,812.3294182063,422753.270206,10
70,70,385926.7056,0.91,0.97,1,50,0.99,779.8006156973,422765.7302707,8
71,71,592291.5499,0.96,0.92,1,60,0.94,778.7547819057,422743.2496907,6
72,72,378409.5207,0.97,0.96,1,50,0.92,799.7912212832,422733.8718524,4
73,73,45087.8048,0.99,1.0,1,35,0.94,824.8676151294,422743.2496907,6
74,74,-57799.0745,0.93,1.0,1,30,1.0,800.6278883165,422770.7405284,10
75,75,159496.3257,0.98,0.99,1,40,0.92,816.5785394335,422734.5145295,6
76,76,-65672.9781,1.0,0.96,1,30,0.94,811.9110846897,422742.6070136,4
77,77,-47559.4593,0.93,0.94,1,30,0.99,775.1331609536,422765.7302707,8
78,78,472111.6371,0.99,0.94,1,55,1.0,799.3728877665,422770.7405284,10
79,79,487230.3256,0.95,0.96,1,55,0.92,791.7113123455,422733.2291753,2
80,80,594546.4539,0.93,0.97,1,60,0.93,787.880524635,422738.239433,4
81,81,371614.6505,0.99,0.94,1,50,0.96,799.3728877665,422752.627529,8
82,82,62320.0041,0.97,0.93,1,35,0.92,787.0438576017,422733.8718524,4
83,83,174741.278,0.91,0.96,1,40,1.0,775.5514944702,422768.8124971,4
84,84,589108.1128,0.94,0.99,1,60,0.93,800.4187215581,422739.5247872,8
85,85,175074.0457,0.93,0.97,1,40,0.93,787.880524635,422737.5967559,2
86,86,169185.0297,0.97,0.91,1,40,0.96,778.5456151474,422751.9848519,6
87,87,-53541.3781,0.94,0.96,1,30,0.99,787.6713578767,422765.7302707,8
88,88,583076.8924,0.98,0.95,1,60,0.94,799.5820545249,422741.9643365,2
89,89,576567.3518,0.99,0.94,1,60,1.0,799.3728877665,422768.1698201,2
90,90,586913.8441,0.94,1.0,1,60,0.94,804.6678427853,422743.8923678,8
91,91,266871.7684,0.96,0.98,1,45,0.98,804.2495092687,422761.3626901,8
92,92,288723.0701,0.92,0.95,1,45,0.91,775.3423277119,422728.8615947,2
93,93,267360.4039,0.98,0.93,1,45,0.99,791.0838120705,422763.8022395,2
94,94,165921.6052,0.95,0.98,1,40,0.95,800.2095547998,422748.9026254,10
95,95,-45275.2486,0.91,1.0,1,30,0.94,792.5479793788,422743.8923678,8
96,96,273008.6829,0.96,0.98,1,45,0.92,804.2495092687,422733.8718524,4
97,97,74596.5,0.92,0.94,1,35,0.92,771.0932064847,422734.5145295,6
98,98,-39648.6496,0.93,0.93,1,30,0.93,770.8840397264,422738.8821101,6
99,99,189363.5582,0.91,0.92,1,40,0.91,758.5550095616,422730.1469489,6
100,100,475881.0338,0.99,0.97,1,55,0.91,812.120251448,422731.4323031,10
101,101,285162.2693,0.92,0.96,1,45,0.93,779.591448939,422740.1674643,10
102,102,-61986.4113,0.96,0.97,1,30,1.0,800.0003880415,422769.4551742,6
103,103,286874.1975,0.93,0.92,1,45,0.94,766.6349184992,422743.8923678,8
104,104,161264.4533,0.96,0.98,1,40,0.97,804.2495092687,422756.3524325,6
105,105,-47551.6058,0.97,0.92,1,30,0.91,782.7947363746,422729.5042718,4
106,106,159465.7518,0.96,1.0,1,40,0.96,812.747751723,422752.627529,8
107,107,583122.5471,0.95,0.97,1,60,1.0,795.9604335727,422769.4551742,6
108,108,469221.2541,1.0,1.0,1,55,0.91,828.9075695983,422731.4323031,10
109,109,162635.0332,1.0,0.92,1,40,0.93,794.9145997811,422738.8821101,6
110,110,377568.8174,0.96,0.97,1,50,0.94,800.0003880415,422744.5350449,10
111,111,44376.9945,1.0,0.97,1,35,0.96,816.1602059168,422752.627529,8
112,112,386290.739,0.96,0.92,1,50,0.92,778.7547819057,422735.1572066,8
113,113,379061.9143,0.98,0.92,1,50,0.94,786.8346908434,422742.6070136,4
114,114,176395.7573,0.94,0.91,1,40,0.97,766.4257517409,422756.3524325,6
115,115,272605.25,0.95,0.98,1,45,0.95,800.2095547998,422747.6172713,6
116,116,74213.6532,0.91,0.91,1,35,0.99,754.3058883344,422766.3729478,10
117,117,66441.1418,0.96,0.92,1,35,0.92,778.7547819057,422733.8718524,4
118,118,-45919.2175,0.94,0.91,1,30,0.99,766.4257517409,422765.0875936,6
