n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
0,0,-243966.9972,0.9,0.8,1,20,1.0,2,1,0,0,1,1,1,0,1,1,0,46.34037167307132,29.00217805489027,27.53614256695382,799.0754942605339,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0989,19.6367,22124.240923265894,465.4448105438,1059.4655046,2
1,1,-15570.9569,0.7,0.8,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,48.36368937233291,30.545751427651716,28.580116749183997,826.7999036931003,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.138044309749193,11.3931,16.7768,30060.949945752804,541.7091190346,929.7478489,8
2,2,-428761.0339,0.7,0.9,1,35,1.0,2,1,0,0,1,1,1,0,1,1,0,74.1155378907246,58.333402579419406,26.609925292196635,721.4878165030417,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.4979,27.1368,49849.671845098645,1405.5747799876,1726.8012426,8
3,3,-404717.0305,0.9,0.8,1,25,1.0,2,1,0,0,1,1,1,0,1,1,0,75.94468683748126,58.12423549527098,29.924568340910163,956.9849311197139,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.7159,21.5082,48097.82361198086,1080.8731577112,1520.9518356,6
4,4,-236546.3006,1.0,1.0,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,89.12618883226449,70.34407633384487,36.140742293910165,1070.199866029869,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.158,24.922,63744.837958972756,1662.412656442,1717.3530202,8
5,5,-113472.5164,0.7,0.8,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,66.46878128783176,47.29667638101028,29.841987054061594,714.1011338180912,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.3073,21.7574,47359.729305682515,1080.2558944806,1213.551479,2
6,6,-30371.0283,0.8,0.7,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,84.9998646004652,64.83660191441233,33.877704962815734,756.0456681012804,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.142949561131895,11.7006,22.1162,65055.666890184715,1500.6034417871,1453.0933281,4
7,7,-156984.2308,0.7,0.7,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,80.03052035270608,63.03763815364108,29.745217817306045,976.0830085850411,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.621,23.4115,62419.43255429996,1517.5887172239,1206.0283758,2
8,8,24678.9423,0.7,0.7,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,77.05507271855639,57.799312419159264,31.482488696477176,880.6573309832401,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.2669616824671319,13.5075,18.9959,59513.031103331545,1181.2368114384,1319.0381349,6
9,9,-301063.468,0.7,0.8,1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,65.23734000417048,43.901824336780905,26.50350637385132,588.3673117534595,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.2319,29.1095,33487.168501304186,1020.1897397302,1399.6769956,10
10,10,51130.6043,0.9,1.0,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,66.43667461998834,47.087891172058555,31.454647912441576,781.0628658086417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3331445242354446,12.3429,19.1201,46632.649290898626,940.3676530677,1207.8659004,10
11,11,-257314.3683,0.7,0.8,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,59.07974848171219,42.185445292945516,27.37911258658502,940.8384339964199,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.5716,27.0735,33361.679642397365,950.4736034236,1633.2133575,10
12,12,-221541.3009,1.0,0.9,1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,69.40489741739454,49.10356949508511,29.22481191596491,701.2024211544053,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.4153,21.6657,40820.85259224647,926.2839174036,1319.7414367,8
13,13,-231840.9954,1.0,1.0,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,81.2899106373468,61.23265992056524,34.03754632686891,907.4766236543674,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.645,25.0781,53281.28114180534,1397.7124084902,1475.9967311,10
14,14,-40252.5171,0.9,0.9,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,54.83993387106365,35.934765864016136,32.53257732009219,970.2826737387951,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05308271789927707,10.4565,15.5091,35518.492994588974,593.2966809654,955.1181512,6
15,15,-277037.2879,1.0,0.7,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,74.64710667045394,52.50194239628703,32.035867185533796,826.9674709611797,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.5603,21.4208,42059.884062616446,946.3780865667,1388.1441946,10
16,16,-34481.8026,1.0,0.9,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,65.35460056381599,46.445941979094904,30.454761161811494,847.5451803710855,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.09048109648113305,11.3937,18.9886,41694.622569218525,833.1202600996,1253.1023676,10
17,17,-415536.2423,1.0,1.0,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,71.51356280747898,52.674451061063074,27.137207531938884,701.8622541904633,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.2584,28.4007,41694.30451435953,1234.4935839399,1521.4388252,10
18,18,108336.9507,0.9,0.7,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,43.04730950339033,22.682494432314474,24.185492839944185,586.5556490690024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8674580458093587,10.2891,13.869,21069.150141407255,315.133748095,1043.2425899,8
19,19,-391677.2097,0.8,0.9,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,88.71238777558432,69.36602764000409,35.748099375388776,1070.0054606561519,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.5681,26.1798,60582.517365547654,1658.4458508157,1536.1036108,8
20,20,-103168.8698,0.8,0.9,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,105.6346651875445,82.17524850947655,38.44658737043496,924.2226415727779,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.018335707656195892,6.8584,18.6275,82096.95795639402,1593.1315505915,1184.448629,2
21,21,-293301.2974,0.7,0.8,1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,49.70678367690217,31.154525753059627,29.317948843388315,770.6031025022378,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.7375,22.4509,24832.006065093396,597.1392040861,932.7384761,8
22,22,-196929.7853,0.8,0.9,1,25,0.9,2,1,0,0,1,1,1,0,1,1,0,55.83082808036916,36.44694054586519,33.063084460314215,968.1890807286732,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.7961,16.2715,32130.18811019339,562.559888295,958.1019574,8
23,23,-75857.6887,0.9,1.0,1,45,1.0,2,1,0,0,1,1,1,0,1,1,0,54.448310507596716,35.224678518448215,32.12920931646158,969.1524998093375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.1243,18.1442,32657.880192386794,637.353002602,1125.4031665,8
24,24,-118976.901,0.9,0.9,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,84.38980926817798,66.6822635826911,36.454800653662296,1053.2038698058288,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.2323,17.2789,65811.73112522333,1196.1499934896,1406.8108124,8
25,25,-42211.4116,0.8,0.7,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,85.56028492147514,65.31747231965385,36.58836280457822,1050.5688027911299,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12142190978818107,11.1199,16.662,67947.62098200936,1191.180501007,1249.9607477,4
26,26,64907.5095,1.0,0.9,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,43.09981385013886,24.354581550310368,24.330640114804993,618.4550701994838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5372607070467782,10.3727,15.5538,23010.52780863393,385.1175891713,1028.9201744,4
27,27,-434184.9245,0.8,1.0,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,86.85148055903551,70.20094700893476,35.174125474711715,1072.2529276681744,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.3593,23.3289,54060.39404263481,1322.4562836948,1828.2949639,10
28,28,-231416.6048,0.8,1.0,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,80.01685399759755,60.52937043752647,37.728602005196805,1228.3368088155116,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,16.2664,21.9848,62897.948569248474,1466.8952134185,1540.2894618,8
29,29,-179457.4329,0.8,0.9,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,85.22783293337098,64.46278733580097,36.27170571400946,1050.299610536417,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.2848,21.1134,66913.1358053111,1485.0849594188,1332.2392794,6
30,30,-22311.4673,0.9,0.7,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,53.881339341724484,32.94939429380331,31.689778041865758,821.9499075125284,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.10945440932164807,9.3675,15.5566,32554.17540238244,545.8701370465,917.6282431,6
31,31,-211527.6402,0.9,0.9,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,61.52682327855862,44.030491548451714,24.565082304041532,660.3037546045687,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0913,23.2831,42293.11120497681,1027.1261939064,1233.5522478,2
32,32,-426144.7298,0.8,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,82.66543860068464,60.47845415307178,34.46329325048519,905.3071548131282,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.7639,23.1546,57551.03480447904,1394.1623894085,1319.1798794,2
33,33,30396.166,1.0,0.9,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,46.971373784698685,30.693963856911385,28.004413577895576,829.3803016185412,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.31904542308169004,11.8739,16.9778,27859.9791817975,508.4150365412,1103.6154755,10
34,34,-41045.706,0.7,0.9,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,85.63223590157489,65.63523474610244,36.72680910731093,1051.1149538614166,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13781069053650408,12.9142,21.0221,67247.26711249918,1487.2084892129,1406.8642638,8
35,35,-591729.4251,0.9,0.7,1,20,1.0,2,1,0,0,1,1,1,0,1,1,0,87.9620585124645,68.64170294017381,34.96621163353586,861.0023743688665,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.5934,29.1931,43123.03503123841,1320.7952130357,1779.4698924,10
36,36,-458637.7864,0.7,0.8,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,78.3510899467563,58.153228000912534,28.544942815014004,717.9325063296722,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.1608,27.7278,48767.87220755911,1405.7044022878,1403.7211476,6
37,37,-214656.4444,1.0,0.7,1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,83.6103002357188,65.3256958561736,39.383588826763905,1200.526859308821,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.8683,19.3937,54250.71123508376,1115.657425424,1349.6033923,10
38,38,-110666.9577,0.9,0.7,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,66.99306890570536,48.98216192210917,33.74726130940859,1009.502061663718,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.5532,19.0967,51533.67190675349,1045.9148691258,1115.730664,6
39,39,-25749.1544,1.0,0.9,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,89.73806567374456,66.23589009857344,35.855841431387354,922.591542218908,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.15648515324886392,9.1054,20.6088,63804.93510807252,1374.534420399,1296.4073514,4
40,40,-64566.2189,1.0,0.8,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,56.41353626305267,35.909037716819626,31.254711958982895,815.9823731788375,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0743,17.2437,35955.28922516934,663.1969283132,996.3585112,6
41,41,-36191.7991,0.7,1.0,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,53.92140721111038,35.09636879165443,31.876305232566835,970.5168414218504,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.09127003809184682,12.6087,15.7776,37567.2897852477,637.4572946846,950.8683651,4
42,42,-15386.1418,0.9,1.0,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,53.31625532943902,34.92137551340828,31.47140211657215,970.5220254457217,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16214591099533485,12.6129,14.7755,37242.59011677075,591.6472327956,946.363533,2
43,43,-478890.0019,0.9,1.0,1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,66.1885508710143,47.20684574499455,30.743708908470886,877.5442511395167,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.2759,24.4929,41265.89648740846,1063.2613866922,1052.8991747,2
44,44,-577912.3049,0.7,0.7,1,25,1.0,2,1,0,0,1,1,1,0,1,1,0,80.89040822101619,60.491930771886565,30.165378062453165,732.2517247553227,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.1213,28.2772,50008.746787793236,1471.3600959943,1471.0816968,4
45,45,-130598.3136,0.7,0.8,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,81.94574163456554,61.06495036811551,36.5092635018809,1039.5666797103872,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,14.1019,16.4925,63919.44304341748,1111.5296552545,1405.121327,10
46,46,-152185.7679,1.0,0.7,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,83.7833816731314,67.08475232778736,34.48616978106598,1041.731457149564,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.3627,19.2525,66296.54285806947,1339.4459582258,1197.812737,4
47,47,-137583.8779,0.9,0.8,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,64.59550217730362,48.41894222272116,29.755047180589173,961.0574918526208,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.8756,19.5498,45638.52481766593,938.1579790143,1030.3642287,2
48,48,-269583.7499,1.0,1.0,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,87.46880127982496,69.11105706845616,35.09545455046129,1072.5283164856403,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.3726,23.2446,68457.22575837799,1664.7489072434,1231.8672899,2
49,49,43684.954,0.9,0.9,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,43.69492026101958,27.177493302370106,26.23391766524864,659.6929199160475,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.40849857633114034,13.5256,14.7694,26675.62379800606,424.3005734563,1035.7795586,2
50,50,-132750.4301,0.9,0.8,1,25,1.0,2,1,0,0,1,1,1,0,1,1,0,43.7421621787677,23.806715059608173,24.660817385789123,616.0737726632864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.2249,15.3574,21901.50933922016,361.217757028,1016.0902532,2
51,51,-239250.1299,0.8,1.0,1,20,1.0,2,1,0,0,1,1,1,0,1,1,0,43.01754557318171,25.067811046108414,24.575422531567167,636.9197274735466,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.4508,20.363,20828.168766941362,454.432412505,1071.648742,8
52,52,-347780.9723,1.0,1.0,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,69.28831118700255,50.750221826216645,32.00048409342586,852.4196954143448,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.5275,24.4252,41630.73476618193,1071.0977109342,1451.8378594,10
53,53,-59746.2131,1.0,1.0,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,87.81224058989761,71.05057036782506,35.819447819084324,1071.281767027431,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10350178173639776,12.4886,22.2535,71232.62087450655,1661.8515605371,1515.9869576,4
54,54,-73554.1329,0.9,1.0,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,74.51589680616819,56.183057411854406,31.60084646950108,834.3142939387984,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.051026599970215414,14.0799,21.0365,55678.687503703215,1225.7321678722,1402.9176246,10
55,55,-171016.4424,0.9,0.7,1,25,0.9,2,1,0,0,1,1,1,0,1,1,0,54.7236219431265,32.203683040020934,32.03103322512994,822.1160961831938,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.184,16.3231,28990.9769214099,509.6405020357,911.9823046,4
56,56,-293880.5265,0.7,1.0,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,69.30839218210428,50.902911948452996,30.032137863164134,866.4263304140459,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.5469,19.3548,47422.524527390415,961.6236255154,1277.8273087,2
57,57,-573445.9288,0.7,0.8,1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,90.07654007561501,69.91407005253964,36.668729406007216,1068.7529900446998,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.5868,26.4166,47476.33593885961,1318.7614487319,1624.5950894,10
58,58,11423.5208,1.0,0.8,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,58.93965007333277,36.12416239702486,34.40353860582482,964.7467326915709,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.26506317445352406,14.2307,14.8723,39640.38179205713,635.202870735,1124.8102637,10
59,59,-217236.9844,0.9,0.9,1,35,1.0,2,1,0,0,1,1,1,0,1,1,0,71.13094392237032,52.57143987060755,33.8925430599892,1020.6070014801953,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.3308,19.8117,45200.102658968375,946.7423291242,1348.4326416,6
60,60,-181585.5524,0.8,0.9,1,25,0.9,2,1,0,0,1,1,1,0,1,1,0,46.358314922945866,28.12244809401746,27.316631763709186,659.534967168008,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0211,18.4924,24012.47785961736,476.6668474557,908.5852955,8
61,61,-27424.5937,1.0,1.0,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,75.48438519288447,55.38702159764283,32.79524699700045,966.6352552429195,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.12156512936464947,9.2457,18.6757,53474.45265174388,1049.0796843592,1277.0446444,4
62,62,74733.4458,1.0,1.0,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,70.28834194282832,53.64769275606794,29.98792249570331,872.4940640762447,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.4025311673201353,12.8858,17.2505,55418.46957678575,1000.7040382478,1187.4630853,4
63,63,-85309.3299,1.0,0.8,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,69.51589393294233,49.93149633262117,32.15839815135766,712.1452554611983,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.4975,19.8053,50353.09278166858,1049.2665453638,1252.8804271,4
64,64,-28761.7087,0.7,1.0,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,67.16792173058994,49.475596527449085,31.829435046763283,877.0114244820387,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.13906049685513183,11.1673,19.5467,51608.51623895419,1065.023527978,1049.4617243,2
65,65,-4920.658,1.0,0.7,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,60.313125335238716,37.317487397875425,35.64828963606172,944.908390662981,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.18475473055654107,7.8689,14.477,36671.18113274017,574.09521064,932.6851957,10
66,66,-329876.3057,0.9,0.8,1,25,1.0,2,1,0,0,1,1,1,0,1,1,0,60.29801641927508,42.523655295716054,28.560786089654826,911.9044057234714,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.8684,22.0797,34862.81057450926,811.1829141466,1326.5242328,8
67,67,80278.3207,1.0,0.7,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,60.559937601640115,40.62749645579834,36.01669475618321,1130.94801461161,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.49854545268544426,13.5814,14.2784,43508.08143965162,671.9216932074,1138.4937177,4
68,68,33230.6105,0.9,0.8,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,42.90445445164071,22.935246865687482,23.94336760983675,617.357027531823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3680912162046336,9.6131,15.7622,20730.022961593844,351.5097423031,1055.0034287,8
69,69,-230560.2972,0.9,0.9,1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,79.09046617218007,61.97103110164872,33.1915927391011,909.3656896079161,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.3807,19.2393,55602.7086385842,1119.6051091069,1310.5516374,6
70,70,-361256.9975,0.9,1.0,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,78.13594797340137,57.93141207384505,32.2435244197742,739.3052894441938,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.6545,25.3453,43861.18083291961,1163.7694155635,1474.8495272,10
71,71,-64602.9759,0.9,0.8,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,46.513448361730724,29.244427508867574,26.571496262152863,873.2060902800993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.4673,17.2455,26637.316811161283,492.7085003617,1072.0335688,2
72,72,-226621.055,0.7,0.9,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,76.4109412871891,57.56643205252749,27.36541401609003,719.5022670314761,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0746,21.5392,54736.59117660544,1223.5740907596,1468.4742795,4
73,73,-153085.2494,0.7,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,60.00610845633581,36.38394856352359,34.886186196538254,963.965763000096,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.1874,15.4743,33783.2214072662,562.8612851681,1110.9635115,2
74,74,-188557.9885,0.7,0.8,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,60.57951126413481,39.077710278721504,28.195692200728512,721.973221679265,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0279,29.2994,36690.95585908961,1130.1136197829,1250.5381916,2
75,75,-40411.9953,0.9,0.9,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,87.9836693279401,69.03580579788746,35.35468181924527,1072.2576525907234,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1415717628302019,15.7248,19.6571,70634.58134833779,1454.5374876903,1643.8865043,10
76,76,-395513.4858,1.0,0.9,1,25,0.9,2,1,0,0,1,1,1,0,1,1,0,81.37154611552003,60.68009316157344,34.15485518386747,877.1360691109138,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.5465,19.8124,57125.15343727936,1185.0765245471,1127.154412,2
77,77,-163460.8396,0.8,0.7,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,67.44625067738983,47.34118806154462,26.578938838162713,690.5965371916825,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.4707,24.3163,44278.4652912403,1120.9458168267,1164.9680532,4
78,78,-114621.7136,1.0,1.0,1,35,1.0,2,1,0,0,1,1,1,0,1,1,0,52.0409358569816,27.83432261053362,29.827605639123085,793.6781337877195,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.8468,18.8529,24417.713813979593,495.4457637022,1072.4477693,6
79,79,-478856.3276,0.8,1.0,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,66.65738564305111,48.80283149393057,28.266859385999297,971.6566374412366,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.9044,33.65,37142.056602034485,1308.3580727465,1461.3239728,6
80,80,74986.9154,0.9,1.0,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,45.052557850132565,22.325227089440187,25.101050007874626,584.9497167804178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6440556008523566,9.7616,14.1315,21257.428245701423,324.2150438254,1015.5619906,4
81,81,55401.8086,0.9,0.9,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,45.878779107003155,24.54811430636338,26.568674162480455,650.8198790318835,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4812937465770233,9.6571,15.9707,22243.08807061206,383.4314308225,1050.0457312,8
82,82,69947.5699,0.7,0.7,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,51.268632751478584,30.845279647890834,29.46767927384689,757.8824816482048,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5249085933246679,9.4703,14.4597,30524.877408348788,475.2477407932,902.9833192,6
83,83,34621.7436,0.7,0.9,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,89.36194927767504,66.8473907640527,27.785527255958666,509.6880078065095,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25838824705666735,11.2928,19.1454,64895.915934760575,1280.6217643667,1660.5824152,8
84,84,-558687.1506,1.0,0.7,1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,100.93961173926401,82.94371448557014,36.343738318715644,873.6310147776676,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.4073,19.1584,71999.55210044126,1436.5340069481,1293.7365728,4
85,85,-302913.9068,0.8,1.0,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,66.00615254080918,43.61450927807709,30.249386769312792,731.1421686176034,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.2758,31.0191,38133.9511843456,1244.1097311071,1198.9330224,4
86,86,45757.4058,1.0,0.9,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,83.30766522403718,66.08928440960142,35.785934580044604,1054.2567665439592,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.29779855297892066,12.0183,18.8612,66027.48663614942,1309.2995010557,1435.8675615,4
87,87,-374848.2831,0.7,0.7,1,25,0.9,2,1,0,0,1,1,1,0,1,1,0,102.48447755766179,79.38047972292941,36.29923352305419,924.9563214526775,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.9215,17.3133,70019.29710444977,1260.0423663137,1388.5950939,6
