n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.8,1.0,0.7,50.0,-353.12253523789377,17.228584059626538,654.2526148563663,474.4516487238063
1,1.0,1.0,1.0,1.0,1.0,0.6,2.0,2.0,1.0,1.0,0.8,30.0,-450.11381223315834,4.435883168136524,706.3873312644187,113.87176835930065
2,2.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,1.0,0.8,30.0,-414.6080580824788,4.435883168136524,642.7261312644187,95.60753127426659
3,3.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.8,1.0,1.0,50.0,-370.20349802254975,23.078289705525684,767.6211640805233,506.6722263044884
4,4.0,1.0,1.0,1.0,1.0,0.9,3.0,2.0,0.8,0.9,0.7,50.0,-279.6148632538847,16.009966495689934,536.8546148563664,524.7146807754795
5,5.0,1.0,1.0,1.0,1.0,0.9,2.0,2.0,0.7,1.0,1.0,50.0,-394.70414720219316,14.823148120062866,713.3500040805234,496.594514823454
6,6.0,1.0,1.0,1.0,1.0,0.4,2.0,2.0,1.0,1.0,0.9,50.0,-332.2096182043945,23.078289705525684,744.1768476724711,567.5705940773958
7,7.0,1.0,1.0,1.0,1.0,0.9,1.0,2.0,1.0,0.9,1.0,40.0,-504.83258652859075,9.252881896266334,821.2151640805233,280.8164100141726
8,8.0,1.0,1.0,1.0,1.0,0.3,2.0,2.0,0.9,0.9,0.9,40.0,-358.26642316541245,23.078289705525684,721.304727672471,474.2745140059118
9,9.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,0.8,1.0,1.0,40.0,-410.54790094047735,17.228584059626538,736.2221240805234,433.2829670103884
10,10.0,1.0,1.0,1.0,1.0,0.3,2.0,2.0,0.9,1.0,0.7,60.0,-192.49522419750463,23.078289705525684,645.7256948563663,506.6722263044884
11,11.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,30.0,-451.3774823086684,4.435883168136524,684.2641640805234,144.49233681894896
12,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.7,40.0,-425.7293095079599,4.435883168136524,654.2526148563663,144.49233681894896
13,13.0,1.0,1.0,1.0,1.0,0.1,2.0,2.0,0.8,1.0,0.8,60.0,-174.31436645723312,23.078289705525684,660.6430912644187,384.8754907586737
14,14.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.9,0.9,0.9,50.0,-279.02598317393273,23.078289705525684,756.6286476724712,352.4777784600971
15,15.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.9,0.9,0.8,60.0,-198.12499606553342,23.078289705525684,718.8391312644187,352.4777784600971
16,16.0,1.0,1.0,1.0,1.0,0.5,3.0,1.0,0.8,0.9,0.7,50.0,-254.35066004157346,23.078289705525684,536.8546148563664,596.0712495517265
17,17.0,1.0,1.0,1.0,1.0,0.6,3.0,1.0,0.8,1.0,0.8,40.0,-358.22005760559165,6.576605908635223,574.6441312644188,166.58255659989092
18,18.0,1.0,1.0,1.0,1.0,0.4,3.0,2.0,0.7,1.0,1.0,30.0,-379.2010712718275,9.617224844721495,616.1821640805234,202.8468901689825
19,19.0,1.0,1.0,1.0,1.0,0.2,3.0,1.0,0.8,0.9,0.8,30.0,-356.5516240352011,8.126778234860332,574.6441312644188,126.91008934212722
20,20.0,1.0,1.0,1.0,1.0,0.3,1.0,2.0,0.9,0.9,0.7,50.0,-267.66329984032086,23.078289705525684,681.0496148563664,474.2745140059118
21,21.0,1.0,1.0,1.0,1.0,0.1,3.0,2.0,0.9,1.0,0.9,30.0,-354.5629115301468,22.29896888868372,646.4746476724711,368.54435855765735
22,22.0,1.0,1.0,1.0,1.0,0.8,1.0,2.0,1.0,0.9,1.0,40.0,-493.75747784732073,10.930340600310041,821.2151640805233,310.6735359868647
23,23.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.7,0.9,1.0,60.0,-311.60350498378335,23.078289705525684,713.3500040805234,656.9696173246339
24,24.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,0.9,1.0,40.0,-454.1226774914964,18.312927771802244,821.2151640805233,443.0220528425354
25,25.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,1.0,0.9,0.9,60.0,-279.9891530575136,23.078289705525684,783.425647672471,535.1728817788191
26,26.0,1.0,1.0,1.0,1.0,0.4,2.0,2.0,0.7,1.0,1.0,30.0,-438.6537776703088,9.617224844721495,713.3500040805234,202.8468901689825
27,27.0,1.0,1.0,1.0,1.0,0.5,3.0,2.0,0.9,1.0,1.0,30.0,-430.8617494343695,4.435883168136524,684.2641640805234,104.73964981678361
28,28.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.7,1.0,0.8,40.0,-413.823562085539,6.576605908635223,665.2451312644187,166.58255659989092
29,29.0,1.0,1.0,1.0,1.0,0.4,2.0,2.0,0.7,0.9,1.0,30.0,-431.96134372493697,10.930340600310041,713.3500040805234,217.63467307650404
30,30.0,1.0,1.0,1.0,1.0,0.4,2.0,2.0,0.8,0.9,0.9,50.0,-294.44623976590066,23.078289705525684,698.432607672471,535.1728817788191
31,31.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,0.8,0.9,0.9,60.0,-251.60196759631197,23.078289705525684,698.432607672471,474.2745140059118
32,32.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9,0.7,50.0,-364.5955095419669,10.930340600310041,604.9366148563663,357.192967442045
33,33.0,1.0,1.0,1.0,1.0,0.1,3.0,1.0,1.0,0.9,1.0,50.0,-295.9037100979876,23.078289705525684,718.3051640805235,352.4777784600971
34,34.0,1.0,1.0,1.0,1.0,0.2,1.0,2.0,0.8,1.0,0.8,60.0,-203.7621996471091,23.078289705525684,692.0421312644187,445.773858531581
35,35.0,1.0,1.0,1.0,1.0,0.5,3.0,1.0,0.7,0.9,0.9,50.0,-279.1090628144534,23.078289705525684,578.3926476724711,596.0712495517265
36,36.0,1.0,1.0,1.0,1.0,0.2,3.0,1.0,0.9,1.0,1.0,50.0,-301.8018076134844,23.078289705525684,684.2641640805234,445.773858531581
37,37.0,1.0,1.0,1.0,1.0,0.2,1.0,2.0,0.7,1.0,0.8,40.0,-316.7818471444564,23.078289705525684,665.2451312644187,445.773858531581
38,38.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,60.0,-351.586839223102,19.70101240444786,718.3051640805235,758.5359520751812
39,39.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.7,0.9,0.8,50.0,-264.3350422537948,23.078289705525684,665.2451312644187,352.4777784600971
40,40.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,1.0,1.0,0.8,50.0,-384.68729105909483,17.228584059626538,706.3873312644187,474.4516487238063
41,41.0,1.0,1.0,1.0,1.0,0.5,3.0,1.0,0.7,1.0,1.0,40.0,-371.2860779152118,10.930340600310041,616.1821640805234,254.73836771144352
42,42.0,1.0,1.0,1.0,1.0,0.8,3.0,1.0,0.8,1.0,1.0,50.0,-376.63859312457976,12.289556844116472,650.2231640805235,370.93767619824644
43,43.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.9,0.8,30.0,-457.11602544958987,4.435883168136524,692.0421312644187,144.49233681894896
44,44.0,1.0,1.0,1.0,1.0,0.8,2.0,1.0,1.0,0.9,0.8,50.0,-404.6590425108321,13.585846960861314,706.3873312644187,399.6035767734475
45,45.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.9,1.0,0.7,30.0,-443.5563889676407,4.435883168136524,681.0496148563664,104.73964981678361
46,46.0,1.0,1.0,1.0,1.0,0.1,3.0,2.0,0.8,1.0,0.9,60.0,-148.75826279895554,23.078289705525684,612.4336476724711,384.8754907586737
47,47.0,1.0,1.0,1.0,1.0,0.8,3.0,1.0,0.7,1.0,0.7,50.0,-287.4895143392097,12.289556844116472,502.8136148563663,370.93767619824644
48,48.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.8,0.9,0.8,30.0,-438.19498485632477,4.435883168136524,692.0421312644187,107.96386264888082
49,49.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.8,30.0,-385.0098998349484,4.435883168136524,574.6441312644188,144.49233681894896
50,50.0,1.0,1.0,1.0,1.0,0.6,3.0,1.0,0.7,0.9,0.8,30.0,-358.51924096056877,4.435883168136524,540.6031312644187,107.96386264888082
51,51.0,1.0,1.0,1.0,1.0,0.8,2.0,2.0,0.9,0.9,0.9,60.0,-310.087366018342,23.078289705525684,721.304727672471,778.7663528704486
52,52.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9,1.0,0.7,50.0,-301.2614755774502,23.078289705525684,681.0496148563664,445.773858531581
53,53.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.9,1.0,0.9,60.0,-297.0847076599487,23.078289705525684,756.6286476724712,506.6722263044884
54,54.0,1.0,1.0,1.0,1.0,0.8,2.0,2.0,0.7,0.9,0.7,60.0,-236.36352767762097,23.078289705525684,599.9814548563663,778.7663528704486
55,55.0,1.0,1.0,1.0,1.0,0.4,2.0,1.0,1.0,0.9,1.0,30.0,-496.3156882618489,4.435883168136524,781.9663640805235,89.69962556384674
56,56.0,1.0,1.0,1.0,1.0,0.2,2.0,1.0,0.7,0.9,0.7,30.0,-372.41824427161225,8.126778234860332,599.9814548563663,126.91008934212722
57,57.0,1.0,1.0,1.0,1.0,0.6,2.0,2.0,0.8,0.9,0.9,40.0,-394.40843028333506,15.616849859709033,698.432607672471,400.22908435863167
58,58.0,1.0,1.0,1.0,1.0,0.9,3.0,2.0,0.8,1.0,1.0,30.0,-428.9782001772145,4.435883168136524,650.2231640805235,141.26812398685178
59,59.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.9,60.0,-279.387019504955,23.078289705525684,783.425647672471,384.8754907586737
60,60.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,0.7,1.0,1.0,40.0,-396.73800090433036,21.34758413565328,740.8241640805232,513.2896307532426
61,61.0,1.0,1.0,1.0,1.0,0.8,3.0,2.0,0.8,0.9,0.7,40.0,-320.301621028341,10.930340600310041,536.8546148563664,310.6735359868647
62,62.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.8,0.9,1.0,60.0,-325.6839278424938,23.078289705525684,736.2221240805234,656.9696173246339
63,63.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.7,1.0,1.0,30.0,-470.3909242122129,4.435883168136524,740.8241640805232,113.87176835930065
64,64.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.7,1.0,1.0,50.0,-363.90554316148706,23.078289705525684,740.8241640805232,689.3673296232106
65,65.0,1.0,1.0,1.0,1.0,0.8,1.0,2.0,0.8,0.9,0.8,30.0,-447.6555051529574,4.435883168136524,692.0421312644187,126.2280997339149
66,66.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.9,1.0,0.7,60.0,-244.62622666543643,23.078289705525684,681.0496148563664,628.468961850303
67,67.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.7,30.0,-445.86822965738605,4.435883168136524,707.8466148563664,77.3432941892325
68,68.0,1.0,1.0,1.0,1.0,0.3,3.0,2.0,1.0,1.0,1.0,50.0,-298.61075444784797,23.078289705525684,718.3051640805235,506.6722263044884
69,69.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,30.0,-518.9429787406522,4.435883168136524,821.2151640805233,86.47541273174954
70,70.0,1.0,1.0,1.0,1.0,0.9,3.0,1.0,0.8,1.0,1.0,30.0,-442.21317174651995,4.435883168136524,650.2231640805235,141.26812398685178
71,71.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.7,60.0,-292.0839381557116,16.098655575530614,570.8956148563664,566.060016343606
72,72.0,1.0,1.0,1.0,1.0,0.4,3.0,2.0,0.9,1.0,0.8,50.0,-249.3433266189719,23.078289705525684,608.6851312644187,567.5705940773958
73,73.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.9,1.0,0.8,40.0,-446.8288043549273,6.576605908635223,718.8391312644187,166.58255659989092
74,74.0,1.0,1.0,1.0,1.0,0.9,1.0,2.0,0.9,0.9,1.0,30.0,-514.4513790592678,4.435883168136524,794.4181640805233,135.36021827643194
75,75.0,1.0,1.0,1.0,1.0,0.7,2.0,2.0,0.8,0.9,1.0,40.0,-430.46079856074743,12.39118903747125,736.2221240805234,331.685770598228
76,76.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.7,1.0,0.7,40.0,-352.7134518020505,17.228584059626538,627.4556148563663,350.9456035835528
77,77.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,1.0,0.9,0.8,60.0,-308.50812068039573,23.078289705525684,745.6361312644187,717.8679850975411
78,78.0,1.0,1.0,1.0,1.0,0.7,3.0,2.0,0.9,0.9,0.7,50.0,-268.24998532220576,22.29896888868372,570.8956148563664,686.2722664963071
79,79.0,1.0,1.0,1.0,1.0,0.2,2.0,1.0,0.8,1.0,0.9,30.0,-439.0483938034279,4.435883168136524,698.432607672471,77.3432941892325
80,80.0,1.0,1.0,1.0,1.0,0.3,1.0,2.0,0.8,0.9,0.8,40.0,-340.78209020292167,23.078289705525684,692.0421312644187,474.2745140059118
81,81.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.7,30.0,-469.5195303989674,4.435883168136524,707.8466148563664,123.00388690181768
82,82.0,1.0,1.0,1.0,1.0,0.3,3.0,1.0,0.7,1.0,0.8,40.0,-299.0868537833331,17.228584059626538,540.6031312644187,350.9456035835528
83,83.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,1.0,60.0,-381.2198537830812,21.34758413565328,781.9663640805235,812.6830929742241
84,84.0,1.0,1.0,1.0,1.0,0.7,2.0,2.0,0.7,1.0,0.9,40.0,-400.6249543866892,11.036907577547803,675.560487672471,304.6318982329067
85,85.0,1.0,1.0,1.0,1.0,0.2,2.0,1.0,0.7,1.0,0.9,30.0,-424.9679709447175,4.435883168136524,675.560487672471,77.3432941892325
86,86.0,1.0,1.0,1.0,1.0,0.3,3.0,2.0,0.8,1.0,0.7,60.0,-134.29368930336886,23.078289705525684,536.8546148563664,506.6722263044884
87,87.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,50.0,-394.5757425095179,9.252881896266334,642.7261312644187,312.0182333490807
88,88.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,0.9,0.8,50.0,-301.64118140921966,23.078289705525684,642.7261312644187,535.1728817788191
89,89.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.7,0.9,0.9,60.0,-271.5770873143315,23.078289705525684,703.0346476724711,535.1728817788191
90,90.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.9,1.0,1.0,40.0,-419.3457250532011,23.078289705525684,794.4181640805233,384.8754907586737
91,91.0,1.0,1.0,1.0,1.0,0.8,3.0,2.0,1.0,1.0,1.0,30.0,-465.8571197297383,4.435883168136524,718.3051640805235,132.13600544433473
92,92.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.9,0.9,0.8,40.0,-323.084402047928,23.078289705525684,718.8391312644187,352.4777784600971
93,93.0,1.0,1.0,1.0,1.0,0.7,3.0,1.0,0.8,0.9,0.8,60.0,-244.49255045726625,23.078289705525684,574.6441312644188,717.8679850975411
94,94.0,1.0,1.0,1.0,1.0,0.1,2.0,1.0,0.7,1.0,0.9,40.0,-346.6035985402768,23.078289705525684,675.560487672471,384.8754907586737
95,95.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.9,0.9,40.0,-458.0573305619543,4.435883168136524,729.8316476724711,144.49233681894896
96,96.0,1.0,1.0,1.0,1.0,0.6,3.0,1.0,0.8,0.9,0.9,50.0,-317.2597658617711,19.359945033123836,612.4336476724711,523.297717121561
97,97.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.8,0.9,0.8,40.0,-393.0731923447824,12.063173059093632,660.6430912644187,269.1333518796973
98,98.0,1.0,1.0,1.0,1.0,0.8,2.0,1.0,0.7,0.9,0.8,40.0,-405.59227645639703,4.435883168136524,637.7709712644187,126.2280997339149
99,99.0,1.0,1.0,1.0,1.0,0.7,3.0,2.0,0.9,0.9,1.0,60.0,-269.7643352700856,23.078289705525684,684.2641640805234,717.8679850975411
100,100.0,1.0,1.0,1.0,1.0,0.7,2.0,2.0,0.9,1.0,1.0,30.0,-486.3266421460641,4.435883168136524,759.0942440805235,123.00388690181768
101,101.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,0.9,1.0,40.0,-413.804405210026,15.616849859709033,718.3051640805235,327.7843382705584
102,102.0,1.0,1.0,1.0,1.0,0.4,2.0,1.0,0.9,1.0,0.9,30.0,-462.5893369587709,4.435883168136524,721.304727672471,95.60753127426659
103,103.0,1.0,1.0,1.0,1.0,0.7,3.0,2.0,0.9,1.0,0.8,30.0,-394.75927710770196,4.435883168136524,608.6851312644187,123.00388690181768
104,104.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.7,0.9,0.7,40.0,-267.29766346688956,23.078289705525684,627.4556148563663,352.4777784600971
105,105.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,0.9,1.0,1.0,40.0,-473.36708089961354,11.036907577547803,794.4181640805233,304.6318982329067
106,106.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.7,1.0,0.7,50.0,-336.6199141031996,17.228584059626538,627.4556148563663,474.4516487238063
107,107.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,0.8,0.9,1.0,50.0,-336.60532228542036,23.078289705525684,767.6211640805233,535.1728817788191
108,108.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.8,1.0,0.7,40.0,-293.40281732265663,23.078289705525684,654.2526148563663,384.8754907586737
109,109.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.8,1.0,0.8,60.0,-240.70043556876047,23.078289705525684,692.0421312644187,445.773858531581
110,110.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,1.0,0.8,40.0,-366.3052765029452,4.435883168136524,574.6441312644188,150.40024252936882
111,111.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,60.0,-422.0878558627301,20.369443467053202,821.2151640805233,689.1967244390538
112,112.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.9,0.8,40.0,-455.5463112503914,10.930340600310041,745.6361312644187,264.15410453168437
113,113.0,1.0,1.0,1.0,1.0,0.6,3.0,2.0,0.9,1.0,0.7,60.0,-193.92222441136468,23.078289705525684,570.8956148563664,689.3673296232106
114,114.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,50.0,-469.93982620857116,10.930340600310041,794.4181640805233,333.9332517144548
115,115.0,1.0,1.0,1.0,1.0,0.9,2.0,1.0,0.7,1.0,0.8,30.0,-435.29829567128127,4.435883168136524,637.7709712644187,141.26812398685178
116,116.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,0.8,1.0,0.8,50.0,-269.63453442945246,23.078289705525684,574.6441312644188,567.5705940773958
117,117.0,1.0,1.0,1.0,1.0,0.7,2.0,1.0,1.0,1.0,0.8,40.0,-446.2388527514946,4.435883168136524,706.3873312644187,123.00388690181768
118,118.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.7,1.0,0.7,60.0,-235.76139412506208,23.078289705525684,599.9814548563663,628.468961850303
119,119.0,1.0,1.0,1.0,1.0,0.8,2.0,1.0,0.7,0.9,0.9,50.0,-385.19927024635064,13.585846960861314,675.560487672471,399.6035767734475
120,120.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,1.0,0.9,0.7,40.0,-368.21091470674764,20.369443467053202,668.5978148563663,404.21187017950035
121,121.0,1.0,1.0,1.0,1.0,0.2,3.0,1.0,0.7,1.0,0.9,60.0,-173.36893452747972,23.078289705525684,578.3926476724711,445.773858531581
122,122.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7,1.0,1.0,40.0,-447.6941722455791,10.930340600310041,740.8241640805232,254.73836771144352
123,123.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.9,1.0,0.8,60.0,-360.022242104736,20.369443467053202,718.8391312644187,689.1967244390538
124,124.0,1.0,1.0,1.0,1.0,0.8,3.0,1.0,1.0,1.0,0.7,60.0,-290.2411787445904,20.369443467053202,604.9366148563663,689.1967244390538
125,125.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,0.9,0.9,40.0,-391.02290889837593,15.616849859709033,680.515647672471,327.7843382705584
126,126.0,1.0,1.0,1.0,1.0,0.5,3.0,1.0,0.8,0.9,1.0,30.0,-420.1565632859726,4.435883168136524,650.2231640805235,98.83174410636377
127,127.0,1.0,1.0,1.0,1.0,0.8,2.0,1.0,1.0,0.9,1.0,50.0,-450.22203513413206,13.585846960861314,781.9663640805235,399.6035767734475
128,128.0,1.0,1.0,1.0,1.0,0.3,3.0,1.0,0.8,1.0,1.0,60.0,-231.257457222263,23.078289705525684,650.2231640805235,506.6722263044884
129,129.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.9,1.0,50.0,-393.6062075708653,23.078289705525684,821.2151640805233,474.2745140059118
130,130.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,0.7,60.0,-330.2419173366477,19.70101240444786,681.0496148563664,758.5359520751812
131,131.0,1.0,1.0,1.0,1.0,0.4,3.0,2.0,0.7,1.0,0.9,30.0,-356.41957496017756,9.617224844721495,578.3926476724711,202.8468901689825
132,132.0,1.0,1.0,1.0,1.0,0.4,2.0,1.0,1.0,0.9,0.9,40.0,-430.30311432172863,15.616849859709033,744.1768476724711,327.7843382705584
133,133.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9,0.9,0.9,40.0,-404.0618506653224,23.078289705525684,756.6286476724712,413.3761462330045
134,134.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,50.0,-420.3088949367822,23.078289705525684,821.2151640805233,567.5705940773958
135,135.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,0.7,0.9,1.0,50.0,-284.79040448125943,23.078289705525684,616.1821640805234,535.1728817788191
136,136.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,1.0,0.9,0.9,50.0,-398.1491509859638,19.359945033123836,744.1768476724711,523.297717121561
137,137.0,1.0,1.0,1.0,1.0,0.1,3.0,1.0,0.7,1.0,1.0,60.0,-179.95125030831747,23.078289705525684,616.1821640805234,384.8754907586737
138,138.0,1.0,1.0,1.0,1.0,0.8,2.0,2.0,0.7,0.9,0.7,30.0,-391.415999774727,4.435883168136524,599.9814548563663,126.2280997339149
139,139.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,1.0,1.0,1.0,50.0,-430.25028368239487,17.228584059626538,781.9663640805235,474.4516487238063
140,140.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,30.0,-428.5959859970184,4.435883168136524,646.4746476724711,144.49233681894896
141,141.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.9,0.9,0.7,30.0,-423.35129676482103,4.435883168136524,645.7256948563663,107.96386264888082
142,142.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.9,0.9,60.0,-256.7443824968184,21.34758413565328,578.3926476724711,812.6830929742241
143,143.0,1.0,1.0,1.0,1.0,0.9,2.0,1.0,0.7,0.9,0.8,40.0,-410.32253660471326,4.435883168136524,637.7709712644187,135.36021827643194
144,144.0,1.0,1.0,1.0,1.0,0.7,2.0,2.0,1.0,0.9,0.7,40.0,-390.2771553432184,12.39118903747125,668.5978148563663,331.685770598228
145,145.0,1.0,1.0,1.0,1.0,0.1,2.0,1.0,0.7,1.0,0.8,50.0,-256.98218704298154,23.078289705525684,637.7709712644187,384.8754907586737
146,146.0,1.0,1.0,1.0,1.0,0.8,1.0,2.0,0.8,1.0,0.7,50.0,-345.4874605145465,17.228584059626538,654.2526148563663,556.7890121506418
147,147.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.8,30.0,-485.2589258725558,4.435883168136524,718.8391312644187,141.26812398685178
148,148.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,1.0,0.9,0.9,60.0,-279.7628133137329,23.078289705525684,744.1768476724711,474.2745140059118
149,149.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.8,0.9,0.9,60.0,-302.9024315308439,23.078289705525684,698.432607672471,656.9696173246339
150,150.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,1.0,0.9,60.0,-267.18529525629714,23.078289705525684,680.515647672471,567.5705940773958
151,151.0,1.0,1.0,1.0,1.0,0.4,3.0,2.0,0.9,1.0,0.7,40.0,-293.5945973398532,21.34758413565328,570.8956148563664,513.2896307532426
152,152.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,0.9,1.0,0.9,40.0,-378.1792804976989,13.682790068623277,646.4746476724711,298.09835623654374
153,153.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,1.0,0.7,50.0,-356.3275830136568,12.39118903747125,627.4556148563663,428.73314354422513
154,154.0,1.0,1.0,1.0,1.0,0.5,3.0,2.0,1.0,1.0,0.9,40.0,-376.64704492289576,17.228584059626538,680.515647672471,433.2829670103884
155,155.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.9,1.0,40.0,-464.33620573891,4.435883168136524,740.8241640805232,144.49233681894896
156,156.0,1.0,1.0,1.0,1.0,0.7,3.0,2.0,0.8,1.0,1.0,50.0,-325.591505900103,20.369443467053202,650.2231640805235,637.7526335305662
157,157.0,1.0,1.0,1.0,1.0,0.8,2.0,2.0,0.9,0.9,1.0,60.0,-332.86886232999194,23.078289705525684,759.0942440805235,778.7663528704486
158,158.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.9,0.9,1.0,30.0,-508.7653100353082,4.435883168136524,794.4181640805233,98.83174410636377
159,159.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,1.0,0.9,0.9,40.0,-460.06213072635563,12.39118903747125,783.425647672471,331.685770598228
160,160.0,1.0,1.0,1.0,1.0,0.1,3.0,1.0,0.8,0.9,0.7,50.0,-185.95004146219762,23.078289705525684,536.8546148563664,352.4777784600971
161,161.0,1.0,1.0,1.0,1.0,0.9,2.0,2.0,0.9,1.0,0.7,60.0,-291.26522626939203,22.29896888868372,645.7256948563663,833.5703832060716
162,162.0,1.0,1.0,1.0,1.0,0.4,2.0,1.0,0.7,0.9,0.8,30.0,-408.51142706241745,4.435883168136524,637.7709712644187,89.69962556384674
163,163.0,1.0,1.0,1.0,1.0,0.6,2.0,2.0,0.7,1.0,0.8,40.0,-365.52800190573595,13.682790068623277,637.7709712644187,359.3542877479627
164,164.0,1.0,1.0,1.0,1.0,0.6,2.0,2.0,0.8,1.0,0.9,40.0,-402.3899210760964,13.682790068623277,698.432607672471,359.3542877479627
165,165.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,0.7,0.9,0.9,40.0,-364.8779298438778,18.312927771802244,675.560487672471,443.0220528425354
